"","id_par","large_delayed_ss_time","large_delayed_ll_time","large_not_delayed_ss_time","large_not_delayed_ll_time","small_delayed_ss_time","small_delayed_ll_time","small_not_delayed_ss_time","small_not_delayed_ll_time"
"1",1,10,20,5,15,10,11,5,6
"2",2,24,38,7,21,24,26,7,9
"3",3,24,36,10,22,24,28,10,14
"4",4,6,15,1,10,6,7,1,2
"5",5,42,62,20,40,42,47,20,25
"6",6,40,100,15,75,40,45,15,20
